publishDate,eventDate,time,location,money,column
2000-01-16,Jan 12,9:05,robert miller gallery,,"Jan 12: Harper's Bazaar held a party for Kate Betts, its editor in chief, on the publication of the February issue, her first full issue.; 9:05: HELEN SCHIFTER, far left, and BROOKE DE OCAMPO.; 8:50: EVE, a rapper, and STEVIE J.; KATE BETTS, left, and ANNA WINTOUR.; 8:40: KIRSTI and OLIVIERO TOSCANI.; 8:35: PATRICK and MIA DEMARCHELIER.; 8:55: The crowd at the Robert Miller Gallery.;"
2000-01-16,Jan 13,8:15,metropolitan museum of art,,"Jan 13: Memorial Sloan-Kettering Cancer Center held a dinner at the Metropolitan Museum of Art for 225 guests to honor Dr. Paul A. Marks for his 18 years of service as the center's president.; 8: JOAN and PAUL MARKS.; JACK RUDIN, left, and Dr. HAROLD VARMUS.; 8:15: DOUGLAS A. WARNER III, the chairman of the center's boards, and his wife, PATSY. He announced a prize in cancer research and care to honor Dr. Marks.;"
2000-01-16,Jan 13,6:45,lvmh tower,,"Jan 13: Christian Dior Perfumes held a party at the LVMH Tower to introduce its fragrance J'adore in the United States.; 6:45: JAMES KING, the model, and ALEX BURNS. 7:15: CARMEN KASS, the Dior model who will represent the perfume. 6:50: PLUM SYKES, left, and her sister, LUCY SYKES. 7:05: ROSIE PEREZ, the actress. 6:55: LEONOR VARELA, wearing Dior. (Photographs by Bill Cunningham)"
2000-02-06,Feb 2,8:35,marriott marquis,,"Feb 2: Associated Black Charities gave its annual Black History Makers awards dinner-dance at the Marriott Marquis. The group helps finance 42 agencies in the city. From left, PERCY SUTTON, an honoree, and his wife, LEATRICE; OPHELIA and BILL RUDIN. HAL JACKSON, seated, and Dr. ROSCOE BROWN JR. 8:35: WYNTON MARSALIS, another honoree, with JEWELL JACKSON McCABE."
2000-02-06,Jan 31,6:20,museum of the fashion institute of technology,,"Jan 31: Guests laced themselves into their best for the ''Corset: Fashioning the Body'' exhibition at the Museum of the Fashion Institute of Technology. Examples range from the 16th century to today's fetish gear. 6:20: Dr. ROBERT JUNG, an orthopedic surgeon, and his wife, CATHERINE, got their waists down to 30 and 15 inches respectively. 6:50: BOB MACKIE with MARJORIE NEZIN. 7:05: The curators of the show, FRED DENNIS and VALERIE STEELE (her second corset is a choker). 6:40: MAURITA MAGNER edged a corset in mink for a hat. 7:15: ALVIN BOOTH and his wife, NIKE LANNING. 6:35: CAROLINE McKENTY in a jumpsuit knitted with corset ribbing. 6:15: Todd Zwigard's installation used stretch fabrics as soaring backdrops. 7:10: MIRIAM BENDAHAN came prepared, with a handcuff belt and bite-proof fingernails. 7:25: ELIZABETH McMAHON, left, and KATERINA WASILEWSKI. 7: AUTUMN CAREY-ADAMME, right, with STACIE WICKHAM."
2000-01-23,Jan 17,8:05,frick,,"Jan 17: The galleries and courtyard of the Frick mansion came alive at the annual Henry Clay Frick Fellows' Dinner, for the museum's important donors. Spanish baroque music complemented the paintings in the current Velasquez exhibition. 8:05: SAMUEL SACHS II, the director of the museum, welcomes the 50 guests to the concert. Guests had much to look at as well as listen to: portraits by Van Dyke, Goya and Whistler. 7:40: PAUL G. PENNOYER JR., the guest of honor, with his wife, CECILY, and their sons, from left, TAD, WILLIAM, and SHELDON.; 8: The only concession BROOKE ASTOR made to the cold was sable edging on her suit. Right, ROBERT PIRIE.;"
2000-01-23,Jan 18,7:30,new york public library,,"Jan 18: The New York Public Library gave a dinner for 160 guests to honor Barbara Goldsmith, the author and a library benefactor, for whom the preservation division has been renamed. PAUL LeCLERC, the president of the library, with BARBARA GOLDSMITH. 7:30: COLIN and NANCY CAMPBELL. 7:45: PIA LINDSTROM and JACK CARLEY. 7:50 PETER MAAS, left, with DOMINICK DUNNE. 7:45: SIDNEY and MORRIS OFFIT 7:40: CALVIN TRILLIN and NAN TALESE. 7:20: BROOKE ASTOR draped on her winter diamonds and a short black velvet dress stenciled with gold ginkgo leaves. With her, SAMUEL C. BUTLER, the library's chairman. (Photographs by Bill Cunningham)"
2000-02-13,Feb 2,7:30,the new york city opera,$120000,"Feb 2: Guests were asked to wear Turkish costumes to a bazaar at the New York City Opera thrift shop at 222 East 23rd Street. The evening raised $120,000 for the opera. A dinner followed at a downtown artist's loft. 7: From left, BETH RUDIN DeWOODY, AMY FINE COLLINS and HAMISH BOWLES. 7:30: MARINA RUST and PETER BACANOVIC were among the 300 guests.; 7:15: LORRY NEWHOUSE checking out ROBERT RUFINO'S kilt. 7:35: ANDREW SOLOMON wore polar bear pants. 7: CAROLINE MILBANK, left, and TITI HALLE.;"
2000-02-13,Feb 4,9:50,american museum of natural history,,"Feb 4: The American Museum of Natural History and the Council of Fashion Designers of America held a party for 1,500 Fashion Week guests. The party was held at the new Rose Center for Earth and Space, left. 9:50: Performers in science-fiction costumes cavorting around a meteorite. 10: KIM HASTREITER and DAVID HERSHKOVITS of Paper magazine. 10:15: From left, KAI, ANGELA and GABRIEL, who dressed 44 dolls for a Fashion Week show. 10:05: From left, JOHANNA and two of Susanne Bartsch's performers.; 10:20: INDIA BRACERO and TOUFIK SARWA. 10:23: From left, ELLYN POLSHEK, TODD H. SCHLIEMANN and JAMES S. POLSHEK, the architect of the seven-story-high glass-cubed Rose Center, which encompasses the Hayden Planetarium."
2000-02-20,Feb 14,7:30,plaza,$750000,"Feb 14: Martin Richards's Red Ball at the Plaza, in memory of his wife, Mary Lea Johnson Richards, raised $750,000 for the institute in her name at New York University Medical Center. 7:30: DENISE RICH, JANE SEYMOUR, DELLA ROUNICK, MICHELE RELLA, MARIA THERESA FAUCI and MICHELE HERBERT. 7:15: MARTIN RICHARDS and LILIANE MONTEVECCHI. 7:10: DAVID and FRANCE GOLDMAN. 7:20: From left, GIZELLE D'COLE, MICHAEL O'HARA and MELI'SA MORGAN. 7:35: From left, NOREEN ROTH, JONATHAN FARKAS and SOMERS WHITE."
2000-02-20,Feb 14,8:15,,$1 million,"Feb 14: The New Yorker for New York awards dinner raised more than $1 million for the Citizens Committee for New York City. 8:15: DINA MERRILL HARTLEY and her daughter HEATHER ROBERTSON. 7:55: From left, DWIGHT JOHNSON; E. T. WILLIAMS; LOLA WEST; EVELYN CUNNINGHAM; her husband, AUSTIN BROWN; and GORDON J. DAVIS. 7:50: LOUISE GRUNWALD, left, and ELIZABETH ROHATYN. 8:10: SUSAN and JACK RUDIN flanking NORMA HESS. 8:17: From left, LOIDA N. LEWIS, MARY LINDSAY and ROBIN CHANDLER DUKE. 8:25: WALTER CRONKITE, left, and Senator DANIEL PATRICK MOYNIHAN. 8:30: OPHELIA and BILL RUDIN."
2000-02-20,Feb 14,9:10,cipriani 42nd street,,"Feb 14: The Society of Memorial Sloan-Kettering Cancer Center benefited from a dinner dancer at Cipriani 42nd Street. 9:10: JOANNE and ROBERT DE GUARDIOLA. 8:55: ALEXANDRA LIND, left, and SAMANTHA BOARDMAN. 9:15: PAULA EVANS and CHAPPY MORRIS. 8:50: From left, CAROLINE and TOM DEAN with another guest. 9:05: HILARY DICK, left, and her mother, NICOLE LIMBOCKER."
2000-02-27,Feb 23,8:30,seventh regiment armory,,"Feb 23: The 12th annual Art Show at the Seventh Regiment Armory on Park Avenue benefited the Henry Street Settlement. Among the settlement's services are five transitional shelters for homeless families and adults. The show, which runs through tomorrow, comprises 70 members of the Art Dealers Association of America. Each occupies an elegantly appointed and lighted booth in the manner of a Park Avenue salon. 8:30: REID MASSELINK, the gallery director of David Tunick Inc., showed guests the more than 60 rare engravings and woodcuts by Albrecht Durer (1471-1528) at its booth. 8:15: CLAIRE A. KHALIL before a 1976 painting by Ed Ruscha at the Manny Silverman Gallery. 7:20: FRANCES BEATTY ADLER at the O'Hara Gallery with the sculpture of a security guard by Duane Hanson. 8:10: From left, BARBARA and DONALD TOBER, SOMERS WHITE and FELICIA TAYLOR. 7:15: From left, LISA SCHIFF, DONALD B. MARRON and DAVID T. SCHIFF. 8: PATSY TARR wore a Geoffrey Beene fantasy ruff. 8:05: RICHARD SALOMON, left, and RICHARD MENSCHEL before a 1919 painting by Walt Kuhn at the Kennedy Galleries. 8:50: JUDITH SOLODKIN. 8:20: Guests at the opening preview before photographs by Richard Avedon at the Fraenkel Gallery booth. 8:40: At the Berry-Hill Galleries, DAISY HILL SHEA before an 1868 white marble bust of Cleopatra. 8:55: From left, ALEXANDER APSIS, MARIA-GAETANA MATISSE and UTA SCHARF. 7:40: JUNE KELLY, left, in her booth, greeting ARNOLD L. LEHMAN."
2000-02-27,Feb 24,8:35,javits convention center,,"Feb 24: The International Fair of New Art held its second opening, with 95 dealers, at the North Pavilion (at 39th Street and 11th Avenue) of the Jacob K. Javits Convention Center. The opening night was a benefit for the Dia Center for the Arts. The show runs through tomorrow. 8:35: From left, ELAINE GAN, VINOODH MATADIN and CECELIA DEAN at the Matthew Marks Gallery booth before a self-portrait by Inez van Lamsweerde, a photographer. 8:20: A guest with a marble head by Barry X Ball at the Lawrence Markey booth. 7:15: At the Friedrich Petzel Gallery, Richard Phillips's enormous oil on canvas was a rendition of a late-1960's illustration by Antonio. Antonio's work, which is being discovered by a new generation, will be on view at the Staley-Wise Gallery beginning"
2000-03-19,Mar 14,7:30,f. a. o. schwarz,,"A bunny hop at F. A. O. Schwarz benefited the pediatrics department at Memorial Sloan-Kettering."
2000-03-19,Mar 15,6:25,pierre,,"The Citizens Budget Commission, which monitors New York State and City finances, held its awards dinner at the Pierre."
2000-03-19,Mar 13,6:45,plaza,,"Irish America Magazine honored 100 people and Riverdance at the Plaza."
2000-03-19,Mar 15,10:15,st. regis,$350000,"A benefit at the St. Regis raised $350,000 for Venetian Heritage. Frederica von Stade and Thomas Hampson sang Cole Porter to the guests."
2000-03-19,Mar 13,5:10,metropolitan museum,$10000,"A memorial for Richard H. Martin, late curator of the Costume Institute at the Metropolitan Museum, was held at the Met."
2000-03-19,Mar 13,7:15,tiffany's,,"The American Theater Wing was honored at Tiffany's."
2000-03-19,Mar 16,9:35,new york public library,$100000,"Guests dressed in the style of Scheherazade for a benefit by the Young Lions of the New York Public Library. In keeping with the evening's theme, rare editions of ''The Arabian Nights'' were displayed. The benefit raised $100,000."
2000-03-19,Mar 16,6:50,arader gallery,,"A benefit for Greyhound Friends matched 15 models and dogs at the Arader Gallery."
2000-03-05,Feb 22,6:45,,,"Feb 22: Brotherhood awards were presented by 100 Black Men and the Association for a Better New York. 6:45: RUDY CREW, left, a recipient, with LEWIS RUDIN. 6:25: ROBERT MANGUM, 100 Black Men's founder. 6:40: The Rev. JOSEPH A. O'HARE, president of Fordham, with DR. MARCELLA MAXWELL. 6:50: LUTHER R. GATLING, president of 100 Black Men, and Bishop ROBERT A. BRUCATO, who accepted Cardinal John O'Connor's award."
2000-03-05,Feb 25,8:05,james burden mansion,,"Feb 25: A Hatter's Ball was held at the James Burden mansion to benefit the Creative Arts summer program for children. 8:05: JOHN STELLA, left, with MARC PANITZ and MARYELLEN KEANE. 8: MARC ROSNER in the guise of an A.T.M. 7:50: CAROLINE S. MUELLER, left, TIM MUELLER and a somewhat obscured GEORGIE DICKINSON."
2000-03-05,Feb 25,8:45,frick,,"Feb 25: At an Edwardian ball by the Young Fellows of the Frick Collection, at 8:45, SAMUEL SACHS II, left, with ALEXANDRA VON FURSTENBERG, right, DYLAN BROWN and LIZ COHEN; right, 11:25, NATHALIE GERSCHEL KAPLAN. 11:45: The Garden Court, with palms, ferns and orchids. 11:30: Dancing in the Music Room. 8:40: MARTHA LORING, a descendant of Henry Clay Frick, the collection's founder. 8:55: LARS NILSSON, left, and HERVE PIERRE as Edwardian dandies. 11:05: The main gallery. 9:20: BETH SACHS, left, with RENEE and MARK ROCKEFELLER, before Whistler's ''Lady Meux.'' 11:25: KATE AYRTON and LOPO CHAMPALIMAUD. 10:40: CHRISTINE SCORNAVACCA, left, with RUSSELL PICCIONE and CECELIA DEAN. 10:30: PAMELA MILLER, the only guest in a period Edwardian gown, before a Van Dyck. 11:35: Guests form backdrop to BROOKE DE OCAMPO, right, PETER BACANOVIC and MARINA RUST. 8:55: AERIN LAUDER ZINTERHOFER. 11:40: SHEILA PARHAM, left, and IRINA PANTAEVA. 9:40: KEITH and ALANA BARKSDALE. 11:45: DIAMANTE PEDERSOLI, left, with VANESSA SABET. 11:30: SAMANTHA BOARDMAN, left, BROOKE DE OCAMPO, center, and LILLIAN VON STAUFFENBERG. 10:45: VIRGINIA SIGETY, left, with AARON HILL and SUSAN FALES-HILL. 11:05: In the West Gallery, MARIE-ANNE OUDEJANS and PIERO INCISA DELLA ROCCHETTA view a Rembrandt. 10:50: REGINA GEORGE, left, and SACHA LAZARD. 11:20: HILARY DICK, left, and CHRISTINA GREEN."
2000-03-26,Mar 21,8:05,whitney museum,,"The 2000 Biennial, an exhibition with six curators, opened at the Whitney Museum of American Art."
2000-03-26,Mar 20,7:10,waldorf-astoria,$2.3 million,"New York-Presbyterian Hospital drew 1,000 guests to the Waldorf-Astoria for its annual awards dinner, which raised $2.3 million for otolaryngology programs."
2000-03-26,Mar 22,6:50,waldorf-astoria,$6 million,"The Anti-Defamation League raised $6 million at a dinner in the Waldorf-Astoria attended by 1,272 guests."
2000-03-26,Mar 20,,the chinese porcelain company,,"The Chinese Porcelain Company held a preview of an exhibition of recent flower paintings by Liu Dan at its 475 Park Avenue showroom."
2000-03-26,Mar 23,8:00,seventh regiment armory,,"The Asia Society benefited from an opening night preview of the famously elegant International Asian Art Fair at the Seventh Regiment Armory."
2000-03-26,Mar 22,9:45,marriott marquis,$552800,"The 86-year-old HeartShare Human Services of New York held a dinner and auction at the New York Marriott Marquis, raising $552,800. The organization provides services for abused, neglected and abandoned children, urban families, the disabled and people with AIDS."
2000-03-12,Mar 7,10:20,lincoln center,$1.5 million,"The American Friends of the Israel Philharmonic Orchestra celebrated Zubin Mehta's 30th anniversary as the orchestra's director at a performance he conducted at Lincoln Center and a supper at the Plaza. It raised $1.5 million.;"
2000-03-12,Mar 9,7:25,metropolitan pavilion,$200000,"The Maternity Center Association, which seeks to improve maternity care, held a dinner, auction and display of room settings by 14 designers. The evening, at the Metropolitan Pavilion, on 18th Street, raised $200,000.;"
2000-03-12,Mar 9,8:45,american museum of natural history,$200000,"The annual winter dance of the American Museum of Natural History was attended by more than 800 guests. A reception in the new Rose Center for Earth and Space was followed by dancing in the Hall of Ocean Life. The evening raised $200,000.;"
2000-03-12,Mar 8,7:10,200 fifth club,,"Inwood House, which seeks to prevent teenage pregnancy and has a residence for homeless pregnant girls, held an awards dinner and celebrated its 170th year at the 200 Fifth Club."
2000-03-12,Mar 6,7:20,whitney museum,$1 million,"The Whitney Museum of American Art raised almost $1 million at its annual fund-raiser.;"
2000-03-12,Mar 7,6:35,the new york city opera,$650000,"The New York City Opera previewed ''Porgy and Bess,'' the season opener. The evening raised $650,000."
2000-04-02,Mar 28,6:35,essex house,$370000,"An awards dinner celebrating the 50th anniversary of the Record for the Blind and Dyslexic, at the Essex House, raised more than $370,000 and was attended by 300 guests."
2000-04-02,Mar 29,7:20,guggenheim,,"The John Simon Guggenheim Memorial Foundation, which awards fellowships in a variety of fields, including poetry, acting, painting, sculpture, photography, biology and social science, benefited from its 75th anniversary dinner, held at the Sky Club at the MetLife Building."
2000-04-02,Mar 27,7:25,city center,$520000,"A City Center Encores! production of ''Tenderloin,'' followed by a benefit dinner, raised more than $520,000 for the center's programs, which include events for city schoolchildren and its presentation series of scores from rarely heard musicals."
2000-04-02,Mar 29,8:20,waldorf-astoria,$1258000,"The March of Dimes Million Dollar Beauty Ball awards dinner at the Waldorf-Astoria raised $1,258,000. Arie L. Kopelman, president of Chanel, and Burton M. Tansky, president of the Neiman Marcus Group, were honored."
2000-04-02,Mar 30,10:10,carnegie hall,,"The Curtis Institute of Music celebrated its 75th anniversary with a performance by its symphony orchestra at Carnegie Hall."
2000-04-02,Mar 28,7:20,plaza,$200000,"The G&P Foundation for Cancer Research and the Ovarian Cancer Research Fund benefited from a dinner given by the Walpole Committee at the Plaza that raised $200,000. Walpole promotes British products and art worldwide. Honored guests included Denise Rich, a founder of G&P; Howard Stringer, chairman of the Sony Corporation of America; and Michael Dale, president of Jaguar Cars North America."
2000-04-02,Mar 27,8:25,the russian tea room,$250000,"The White Nights Gala held a benefit at the Russian Tea Room that raised $250,000 for the Mariinsky Theater in St. Petersburg, home of the Kirov Opera and Ballet."
2000-04-02,Mar 30,7:20,waldorf-astoria,$1112150,"Barnard College raised $1,112,150 for its financial aid programs at a Waldorf-Astoria dinner."
2000-04-16,Apr 12,6:20,world financial center,,"The 20th New York International Orchid Show at the Winter Garden in the World Financial Center opened with a preview. The show closes today."
2000-04-16,Apr 11,6:50,pierre,$450000,"The Terence Cardinal Cooke Health Care Center, on Fifth Avenue at 105th Street, held a benefit dinner at the Pierre. The event raised $450,000."
2000-04-16,Apr 10,6:15,pierre,$1.5 million,"The YIVO Institute for Jewish Research raised $1.5 million at an awards dinner at the Pierre."
2000-04-16,Apr 12,11:10,council on foreign relations,,"The Fales Library and Special Collections of New York University and the Fales family gave a dinner at the Council on Foreign Relations to highlight the Fales collection, documenting the history of the novel. It was donated to the university by DeCoursey Fales, a banker."
2000-04-16,Apr 7,10:25,fenway court,,"Fenway Court, the creation of the 19th-century Boston cultural figure, Isabella Stewart Gardner, built as a museum and home, was a magical setting for a benefit performance of ''Isabella,'' an operetta about her and her husband, John L. Gardner."
2000-04-16,Apr 10,7:35,waldorf-astoria,,"The American Theater Wing benefit at the Waldorf-Astoria honored its chairwoman, Isabelle Stevenson."
2000-04-16,Apr 10,7:20,metropolitan club,$520000,"The Manhattan School of Music raised $520,000 at a benefit at the Metropolitan Club."
2000-04-16,Apr 11,10:05,american museum of natural history,$2.25 million,"The American Museum of Natural History honored David Komansky, the chairman of Merrill Lynch, at the museum's annual corporate dinner. The evening raised more than $2.25 million."
2000-04-09,Apr 4,6:50,740 park avenue,,"The New York School of Interior Design benefited from a last chance to see the palatial 34-room penthouse apartment of Saul and Gayfryd Steinberg, at 740 Park Avenue (71st Street), before it was broken up. Mark Hampton designed the extravagant decor to display Mr. Steinberg's art collection. 1 6:50: A corner of the red salon."
2000-04-09,Apr 3,7:45,the russian tea room,,"A publication party for ''Faberge: The Forbes Collection'' (Levin Associates) by Christopher Forbes and Robyn Tromeur-Brenner was given at the Russian Tea Room."
2000-04-09,Apr 5,8:20,puck building,$25000,"The Green Guerillas, which provides plants, tools and training for community gardens, held a benefit party at the Puck Building. The event raised $25,000."
2000-04-09,Mar 31,7:40,marriott marquis,,"The Irene Sharaff Awards for theater and film costume designers were followed by a reception with a buffet held at the New York Marriott Marquis. The awards are named for the costume designer of ''West Side Story,'' ''Hello, Dolly,'' and other plays and movies."
2000-04-09,Apr 1,8:40,new york genealogical society,,"The Scottish Ball, a benefit for the American Scottish Foundation, was given at the New York Genealogical Society, 124 East 58th Street."
2000-04-09,Apr 3,6:55,new york state theater,$2 million,"The All Stars Project, a youth antiviolence program, gave a hip-hop performance for 600 Wall Street executives on the promenade of the New York State Theater and raised $2 million."
2000-04-09,Apr 3,7:25,metropolitan club,$200000,"The Authors Guild Foundation gave a distinguished service award to Roger Angell, the author and senior fiction editor at The New Yorker, at its eighth annual benefit dinner, which was held in the Metropolitan Club. More than 300 guests attended, and the event raised $200,000."
2000-04-23,Apr 9,6:40,metropolitan opera,$1.7 million,"The Metropolitan Opera's On Stage annual corporate benefit raised $1.7 million."
2000-04-23,Apr 17,8:50,waldorf,$1.35 million,"Big Brothers Big Sisters of New York City raised $1.35 million at the Waldorf.;"
2000-04-23,Apr 17,8:55,grand hyatt,$300000,"Young Audiences/New York held a benefit dinner attended by 300 guests and raised $300,000 at the Grand Hyatt.;"
2000-04-23,Apr 16,10:40,carnegie hall,$100000,"The 2000 Ibla-USA Grand Prize raised $100,000 at a benefit concert and dinner at Weill Recital Hall at Carnegie Hall. The foundation, which sponsors a competition for emerging musicians from Ragusa Ibla, Sicily, brought 15 winners to perform at the benefit.;"
2000-04-23,Apr 14,10:50,the new york city opera,,"The Mark Morris Dance Group benefited from a performance of ''Platee,'' a new production by the New York City Opera of the 18th-century Baroque comic opera. This updated version was directed and choreographed by Mr. Morris, with otherworldly costumes by Isaac Mizrahi. A buffet and dance followed.;"
2000-04-23,Apr 17,6:45,st. regis,$288000,"The Black Alumni of Pratt raised $288,000 at its awards dinner at the St. Regis.;"
2000-04-23,Apr 11,6:55,waldorf-astoria,$2 million,"The National Center on Addiction and Substance Abuse at Columbia University raised $2 million at its awards dinner at the Waldorf-Astoria.;"
2000-04-23,Apr 19,6:40,plaza,$500000,"The Black Leadership Forum held its fourth annual Lamplighter Awards dinner at the Plaza, raising $500,000 for its leadership programs.;"
2000-04-23,Apr 16,7:10,four seasons,$450000,"The Irvington Institute raised $450,000 at the Four Seasons Restaurant, where guests served themselves from an elaborate buffet set out in the restaurant's kitchen. The evening benefited medical research.;"
2000-04-23,Apr 17,7:55,plaza,$375000,"The Orchestra of St. Luke's annual awards benefit at the Plaza raised $375,000.;"
2000-04-23,Apr 17,6:10,new york state theater,$600000,"The National Arts Awards Gala raised $600,000 at an awards dinner held at the New York State Theater at Lincoln Center, benefiting Americans for the Arts.;"
2000-04-23,Apr 12,8:15,puck building,$350000,"The Henry Street Settlement gave a tango-theme awards dinner-dance at the Puck Building and raised $350,000 for the organization's programs.;"
2000-04-23,Apr 18,6:15,union league club,,"Gettysburg College held its Lincoln Prize dinner, honoring authors of books on the Civil War era. Dinner was at the Union League Club.;"
2000-04-30,Apr 27,6:55,st. john the divine,$625000,"The Cathedral Church of St. John the Divine was candlelit for its awards dinner, which raised $625,000."
2000-04-30,Apr 26,7:45,plaza,$500000,"The American Society for the Prevention of Cruelty to Animals honored New York City's carriage horses and raised nearly $500,000 at a dinner-dance at the Plaza."
2000-04-30,Apr 26,6:50,waldorf-astoria,$1 million,"The Arthur Ashe Institute for Urban Health raised $1 million at the annual Sports Ball at the Waldorf-Astoria, attended by more than 900 guests."
